scientificName,stateProvince,decimalLatitude,decimalLongitude,references
Pardosa anomala,Colorado,37.714,-105.681,https://ecdysis.org/collections/individual/index.php?occid=3205105
Pardosa anomala,Colorado,39.397222,-106.105833,https://ecdysis.org/collections/individual/index.php?occid=3216573
Pardosa bucklei,Colorado,38.437,-109.044,https://ecdysis.org/collections/individual/index.php?occid=3196620
Pardosa bucklei,Colorado,38.539722,-105.994167,https://ecdysis.org/collections/individual/index.php?occid=3217074
Pardosa bucklei,Colorado,38.539722,-105.994167,https://ecdysis.org/collections/individual/index.php?occid=3217075
Pardosa bucklei,Colorado,37.766667,-105.625278,https://ecdysis.org/collections/individual/index.php?occid=3217081
Pardosa bucklei,Colorado,38.591111,-107.9475,https://ecdysis.org/collections/individual/index.php?occid=3217082
Pardosa bucklei,Colorado,38.835556,-106.545833,https://ecdysis.org/collections/individual/index.php?occid=3217853
Pardosa bucklei,Colorado,37.163889,-105.091944,https://ecdysis.org/collections/individual/index.php?occid=3217959
Pardosa bucklei,Colorado,39.14,-107.797778,https://ecdysis.org/collections/individual/index.php?occid=3218013
Pardosa bucklei,Colorado,37.882276,-105.012629,https://ecdysis.org/collections/individual/index.php?occid=4985592
Pardosa coloradensis,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183003
Pardosa coloradensis,Colorado,39.324111,-105.438278,https://ecdysis.org/collections/individual/index.php?occid=3184244
Pardosa coloradensis,Colorado,39.678889,-105.491111,https://ecdysis.org/collections/individual/index.php?occid=3184245
Pardosa coloradensis,Colorado,39.678939,-105.474378,https://ecdysis.org/collections/individual/index.php?occid=3185611
Pardosa coloradensis,Colorado,39.526361,-105.420722,https://ecdysis.org/collections/individual/index.php?occid=3188274
Pardosa coloradensis,Colorado,39.52075,-105.4203,https://ecdysis.org/collections/individual/index.php?occid=3188358
Pardosa coloradensis,Colorado,37.275556,-108.426111,https://ecdysis.org/collections/individual/index.php?occid=3194240
Pardosa coloradensis,Colorado,39.038056,-106.114167,https://ecdysis.org/collections/individual/index.php?occid=3194606
Pardosa coloradensis,Colorado,40.072222,-105.507778,https://ecdysis.org/collections/individual/index.php?occid=3194617
Pardosa coloradensis,Colorado,40.781661,-105.878565,https://ecdysis.org/collections/individual/index.php?occid=3194850
Pardosa coloradensis,Colorado,37.268,-108.415,https://ecdysis.org/collections/individual/index.php?occid=3196421
Pardosa coloradensis,Colorado,40.056,-106.304,https://ecdysis.org/collections/individual/index.php?occid=3196988
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3196995
Pardosa coloradensis,Colorado,38.837974,-106.000662,https://ecdysis.org/collections/individual/index.php?occid=3197818
Pardosa coloradensis,Colorado,39.583611,-107.551389,https://ecdysis.org/collections/individual/index.php?occid=3198255
Pardosa coloradensis,Colorado,40.452778,-108.480556,https://ecdysis.org/collections/individual/index.php?occid=3198745
Pardosa coloradensis,Colorado,39.5825,-107.5525,https://ecdysis.org/collections/individual/index.php?occid=3198932
Pardosa coloradensis,Colorado,39.582583,-107.552528,https://ecdysis.org/collections/individual/index.php?occid=3198936
Pardosa coloradensis,Colorado,39.583056,-107.553111,https://ecdysis.org/collections/individual/index.php?occid=3198941
Pardosa coloradensis,Colorado,39.276222,-105.982,https://ecdysis.org/collections/individual/index.php?occid=3199050
Pardosa coloradensis,Colorado,37.444444,-107.548056,https://ecdysis.org/collections/individual/index.php?occid=3199434
Pardosa coloradensis,Colorado,38.730556,-105.056389,https://ecdysis.org/collections/individual/index.php?occid=3199692
Pardosa coloradensis,Colorado,38.8895,-105.361083,https://ecdysis.org/collections/individual/index.php?occid=3199813
Pardosa coloradensis,Colorado,38.8894,-105.361083,https://ecdysis.org/collections/individual/index.php?occid=3199850
Pardosa coloradensis,Colorado,39.136667,-105.8875,https://ecdysis.org/collections/individual/index.php?occid=3199901
Pardosa coloradensis,Colorado,40.534,-107.581,https://ecdysis.org/collections/individual/index.php?occid=3200168
Pardosa coloradensis,Colorado,38.246111,-107.764167,https://ecdysis.org/collections/individual/index.php?occid=3200368
Pardosa coloradensis,Colorado,39.523565,-105.25113,https://ecdysis.org/collections/individual/index.php?occid=3200835
Pardosa coloradensis,Colorado,39.946,-105.509,https://ecdysis.org/collections/individual/index.php?occid=3201027
Pardosa coloradensis,Colorado,39.946,-105.509,https://ecdysis.org/collections/individual/index.php?occid=3201285
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201417
Pardosa coloradensis,Colorado,38.903,-105.329,https://ecdysis.org/collections/individual/index.php?occid=3201433
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201475
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201496
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201514
Pardosa coloradensis,Colorado,40.404,-105.624,https://ecdysis.org/collections/individual/index.php?occid=3201516
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201523
Pardosa coloradensis,Colorado,39.96,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201524
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201528
Pardosa coloradensis,Colorado,39.96,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201545
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201546
Pardosa coloradensis,Colorado,39.96,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201548
Pardosa coloradensis,Colorado,39.96,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201554
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201558
Pardosa coloradensis,Colorado,39.96,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201563
Pardosa coloradensis,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3201564
Pardosa coloradensis,Colorado,39.103,-105.39,https://ecdysis.org/collections/individual/index.php?occid=3204024
Pardosa coloradensis,Colorado,37.401,-107.92,https://ecdysis.org/collections/individual/index.php?occid=3204171
Pardosa coloradensis,Colorado,39.308056,-105.749722,https://ecdysis.org/collections/individual/index.php?occid=3204937
Pardosa coloradensis,Colorado,39.946,-105.509,https://ecdysis.org/collections/individual/index.php?occid=3205279
Pardosa coloradensis,Colorado,40.073871,-105.511209,https://ecdysis.org/collections/individual/index.php?occid=3205720
Pardosa coloradensis,Colorado,40.079692,-105.511209,https://ecdysis.org/collections/individual/index.php?occid=3205727
Pardosa coloradensis,Colorado,39.405715,-105.473912,https://ecdysis.org/collections/individual/index.php?occid=3205730
Pardosa coloradensis,Colorado,39.714686,-104.940766,https://ecdysis.org/collections/individual/index.php?occid=3205807
Pardosa coloradensis,Colorado,39.089793,-105.594339,https://ecdysis.org/collections/individual/index.php?occid=3205808
Pardosa coloradensis,Colorado,40.695557,-105.594339,https://ecdysis.org/collections/individual/index.php?occid=3205820
Pardosa coloradensis,Colorado,40.010492,-105.276843,https://ecdysis.org/collections/individual/index.php?occid=3205841
Pardosa coloradensis,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3205842
Pardosa coloradensis,Colorado,39.877016,-105.453672,https://ecdysis.org/collections/individual/index.php?occid=3205848
Pardosa coloradensis,Colorado,39.961891,-105.510376,https://ecdysis.org/collections/individual/index.php?occid=3205887
Pardosa coloradensis,Colorado,39.187946,-105.13873,https://ecdysis.org/collections/individual/index.php?occid=3205889
Pardosa coloradensis,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3205892
Pardosa coloradensis,Colorado,40.802343,-105.590088,https://ecdysis.org/collections/individual/index.php?occid=3205903
Pardosa coloradensis,Colorado,39.225,-106.002,https://ecdysis.org/collections/individual/index.php?occid=3205985
Pardosa coloradensis,Colorado,40.119,-105.477,https://ecdysis.org/collections/individual/index.php?occid=3205990
Pardosa coloradensis,Colorado,39.961,-105.511,https://ecdysis.org/collections/individual/index.php?occid=3205991
Pardosa coloradensis,Colorado,37.88453,-105.206644,https://ecdysis.org/collections/individual/index.php?occid=3206014
