binom,all.co.max.elev,all.pam.bio1,all.pam.bio6,all.pam.bio11,all.co.elev.breadth,all.co.mid.elev,mod.co.max.elev,mod.pam.bio1,mod.pam.bio6,mod.pam.bio11,mod.co.elev.breadth,mod.co.mid.elev
Pardosa altamontis,4082,56.94444444,-125.5299145,-48.48717949,2485,2839.5,4082,61.91666667,-101.4444444,-45.91666667,2485,2839.5
Pardosa bucklei,3353,44.40972222,-152.6180556,-61.73611111,1829,2438.5,2984,31.56481481,-132.8055556,-72.56481481,1460,2254
Pardosa coloradensis,3353,53.88628472,-134.0946181,-52.29513889,1723,2491.5,3261,30.50925926,-139.25,-67.11111111,1550,2486
Pardosa concinna,4023,54.67391304,-135.5519324,-52.09299517,2470,2788,4023,-11.61805556,-215.9166667,-145.7638889,1774,3136
Pardosa confusa,3393,24.23888889,-167.1111111,-77.01111111,1845,2470.5,3393,,,,1845,2470.5
Pardosa distincta,3522,63.17937853,-131.3757062,-50.25094162,2399,2322.5,3261,66.53434682,-127.6818015,-61.55512063,2138,2192
Pardosa dorsalis,3432,54.53921569,-125.9901961,-45.73202614,1071,2896.5,3148,,,,787,2754.5
Pardosa dorsuncata,3137,47.8117284,-125.9058642,-51.83487654,1475,2399.5,3137,47.53209877,-59.82592593,-20.76296296,1475,2399.5
Pardosa falcifera,2743,139.0393519,-45.8587963,43.63657407,1236,2125,2743,203.5,54.63888889,118.5555556,1236,2125
Pardosa fuscula,3760,47.37345679,-140.4689888,-60.76058201,2215,2652.5,3445,-38.04761905,-256.0992063,-195.0396825,1900,2495
Pardosa groenlandica,4338,50.97619048,-131.6048753,-54.1893424,3218,2729,4338,-8.643994709,-199.3765476,-132.6224206,2814,2931
Pardosa lapidicina,3658,98.36164521,-81.30370733,-3.997254572,2264,2526,3658,92.46773426,-92.26095212,-26.98658374,2264,2526
Pardosa mackenziana,3792,46.73493101,-127.93458,-52.54726458,2251,2666.5,3792,-16.51111111,-211.45,-151.6166667,2251,2666.5
Pardosa mercurialis,2992,110.8134921,-73.10714286,7.734126984,1476,2254,2992,173.487037,-8.482407407,71.46944444,1473,2255.5
Pardosa modica,3871,59.68326453,-136.6087891,-58.73821809,2403,2669.5,3658,59.1540404,-137.5454545,-75.46717172,2115,2600.5
Pardosa moesta,3737,64.09015763,-122.6864942,-53.52551217,2419,2527.5,3737,43.0830586,-143.5950807,-83.56651586,2231,2621.5
Pardosa montgomeryi,3029,79.58641975,-106.5925926,-18.9691358,1160,2449,2926,,,,1057,2397.5
Pardosa mulaiki,3243,41.26041667,-138.4340278,-59.03819444,774,2856,,,,,,
Pardosa orophila,2578,90.83823529,-94.83660131,-6.308823529,822,2167,2578,,,,775,2190.5
Pardosa ourayensis,4267,47.23148148,-141.8310185,-55.50694444,2757,2888.5,4267,39.72222222,-142.6805556,-58.73611111,2757,2888.5
Pardosa sierra,2125,108.9954078,-54.03928751,23.37140433,729,1760.5,1951,,,,388,1757
Pardosa sinistra,4115,12.96428571,-155.9563492,-84.25396825,1852,3189,4115,,,,1852,3189
Pardosa sternalis,3549,79.08490566,-106.8537736,-23.45440252,2494,2302,3549,62.51388889,-117.9861111,-36.51388889,2494,2302
Pardosa steva,2660,81.67655724,-101.2172769,-17.08512205,1227,2046.5,2660,48.62962963,-109.6203704,-52.92592593,1227,2046.5
Pardosa tesquorum,3170,32.16666667,-157.1161616,-77.75,925,2707.5,2660,-53.31712963,-273.1898148,-204.1319444,319,2500.5
Pardosa uintana,3510,34.57575758,-150.1262626,-67.4520202,948,3036,3510,-25.21296296,-224.2777778,-153.6851852,614,3203
Pardosa uncata,3658,45.02136752,-130.9273504,-51.82264957,1518,2899,3557,,,,1417,2848.5
Pardosa utahensis,3261,44.89930556,-141.5474537,-60.03472222,1457,2532.5,3261,,,,1457,2532.5
Pardosa vadosa,2873,130.4861111,-45.39087302,38.56349206,1499,2123.5,2873,,,,1410,2168
Pardosa valens,2298,86.86944444,-97.57777778,-6.280555556,669,1963.5,2298,88.97222222,-84.7037037,-1.203703704,669,1963.5
Pardosa wasatchensis,3261,40.79700855,-138.7628205,-62.27350427,1283,2619.5,3261,,,,0,3261
Pardosa wyuta,3029,61.53415033,-118.3352397,-39.83660131,1810,2124,2960,37.23611111,-126.8402778,-55.09027778,1741,2089.5
Pardosa xerampelina,2880,57.36793541,-129.6980488,-52.4672722,1465,2147.5,2743,,,,1328,2079
Pardosa yavapa,2996,80.22318008,-107.2183908,-19.48563218,1367,2312.5,2996,,,,1367,2312.5
